	logFC	AveExpr	t	P.Value	adj.P.Val	B	probe_id	symbol	change
ADARB2-AS1	1.78605771607292	7.59843031682684	11.040543656	4.66862116401118e-12	2.98357464155877e-10	17.4663943515471	ILMN_1719975	ADARB2-AS1	up
ADAT1	3.19063307542737	11.1958947494734	11.0234592421735	4.84645650453089e-12	3.08206928460421e-10	17.4288113723094	ILMN_2046730	ADAT1	up
ADAT2	-1.62161000123655	8.37694890039324	-11.0226747045603	4.85478786252379e-12	3.08206928460421e-10	17.4270846227435	ILMN_1716507	ADAT2	down
ADAT3	-1.03057465685156	7.34224195397463	-11.0191528493427	4.89236941039464e-12	3.09571111770893e-10	17.4193321333413	ILMN_2227120	ADAT3	down
ADCK1	2.2762101205342	8.12405858436909	11.00092341037	5.09171992286449e-12	3.21128932577775e-10	17.379179297202	ILMN_1775042	ADCK1	up
ADCY1	-1.55069422450932	8.40890866284828	-10.9884832759018	5.23252711999994e-12	3.26795102858178e-10	17.3517538830407	ILMN_1743204	ADCY1	down
ADCY10	1.46073348737558	9.11672623026969	10.9815980587472	5.31217021392429e-12	3.29994978436955e-10	17.3365663074039	ILMN_1709479	ADCY10	up
ADCY2	-1.11353690834501	9.70068421706212	-10.9554252046181	5.62643997025996e-12	3.48007071601031e-10	17.2787783905823	ILMN_1717219	ADCY2	down
ADCY3	-1.30471994195857	10.6552635253459	-10.919962743722	6.08294482880604e-12	3.74992086231339e-10	17.2003400070914	ILMN_1784207	ADCY3	down
ADCY4	-1.15414064794293	8.37043338317309	-10.9185639242514	6.10171152996513e-12	3.74992086231339e-10	17.1972427017405	ILMN_1810712	ADCY4	down
ADCY5	-1.68204928498331	8.01463806355246	-10.8963879228514	6.40728882563747e-12	3.92517859394785e-10	17.1481065133445	ILMN_1659678	ADCY5	down
ADCY6	-1.47204852090141	10.4823110404978	-10.8938474665004	6.44328339199345e-12	3.93469839137734e-10	17.1424735092063	ILMN_1703697	ADCY6	down
ADCY7	-1.54417618845443	8.42803035266032	-10.8773163491148	6.68262632040385e-12	4.06189623101551e-10	17.1057985338675	ILMN_1878019	ADCY7	down
ADCY8	-2.96496368257152	10.8917893190554	-10.8753856480411	6.71116808899004e-12	4.06189623101551e-10	17.1015129080808	ILMN_2181125	ADCY8	down
ADCY9	1.16886425303417	9.67173748659751	10.8751321300511	6.714925147967e-12	4.06189623101551e-10	17.1009501323113	ILMN_1676955	ADCY9	up
ADCYAP1	-1.08830172735563	8.52835775275774	-10.862877888427	6.89912523735547e-12	4.16023740018087e-10	17.0737375380323	ILMN_2124082	ADCYAP1	down
ADCYAP1R1	1.11828698935864	7.61165576332793	10.8553030803384	7.01557007137706e-12	4.21723455915653e-10	17.0569067735631	ILMN_1666894	ADCYAP1R1	up
ADD1	-3.3560271146184	10.4322081808304	-10.8490152772663	7.11376025467694e-12	4.25678997360244e-10	17.0429300622945	ILMN_2065773	ADD1	down
ADD2	1.32290568212689	10.0432712552757	10.8482611501709	7.12563096017875e-12	4.25678997360244e-10	17.0412534258019	ILMN_2313730	ADD2	up
ADGRA1	-1.09048296002245	9.17562097496898	-10.8220682954439	7.55079027914784e-12	4.46913851722116e-10	16.9829740178413	ILMN_1658902	ADGRA1	down
ADGRB1	-1.10536191781453	9.13450795264221	-10.7904478083006	8.09890828906593e-12	4.7497134100144e-10	16.9125005540981	ILMN_1698189	ADGRB1	down
ADGRB2	-1.33859395667123	8.1731005848721	-10.7878813470272	8.14514886676182e-12	4.76231257145989e-10	16.9067749650337	ILMN_2374234	ADGRB2	down
ADGRD1	-2.56148413885529	8.26572106825383	-10.7801826605601	8.28548878297105e-12	4.80697390448585e-10	16.8895946658058	ILMN_2049274	ADGRD1	down
ADGRD2	1.23098676442115	7.44990150132635	10.7795841128733	8.29650309986121e-12	4.80697390448585e-10	16.8882586339674	ILMN_1801504	ADGRD2	up
ADGRE1	-1.20713581255665	7.74815842394684	-10.7685457649813	8.50234141848996e-12	4.9114426284106e-10	16.8636114144453	ILMN_1880387	ADGRE1	down
ADGRE4P	1.07052752970036	7.38820487173396	10.7192600266365	9.48728434993955e-12	5.43147029034039e-10	16.7533709973666	ILMN_1676528	ADGRE4P	up
ADGRE5	2.30028881755502	9.8371815746099	10.7092569987659	9.7010698098275e-12	5.53738216207246e-10	16.7309583429527	ILMN_1745501	ADGRE5	up
ADGRF1	-1.71737527389692	9.467683836868	-10.7010573592531	9.87999373272021e-12	5.61537851801773e-10	16.7125766959517	ILMN_1713491	ADGRF1	down
ADGRF2	-1.21018004774989	7.68826949307247	-10.7003268447454	9.89609751303811e-12	5.61537851801773e-10	16.7109386341826	ILMN_1681544	ADGRF2	down
ADGRF3	-1.3304015411202	11.7676070024777	-10.6916751378284	1.00888789890678e-11	5.7079316539326e-10	16.6915333212119	ILMN_1735552	ADGRF3	down
ADGRF4	-1.35839238190815	9.64880730292022	-10.6880496652077	1.01708043431781e-11	5.7374074001576e-10	16.6833987040633	ILMN_1677829	ADGRF4	down
ADGRF5	-1.53603457856909	9.44312477760346	-10.6747914088301	1.0476256200079e-11	5.89243462762337e-10	16.6536361518516	ILMN_1747281	ADGRF5	down
ADGRG1	1.39351869244246	9.61221778235321	10.6418220662499	1.12772670890835e-11	6.3238863626214e-10	16.5795269086518	ILMN_1725241	ADGRG1	up
